ID,CropTyp,Acres,Irrigtn,IntlSrD,LstSrvD,DataSrc,Notes,TRS,county,RtCrpTy,ExctAcr,Shp_Lng,Shap_Ar,CropGrp,date,year,EVI,NVDI,Albedo,GNDVI,MSR,OSAVI,PVR,VARIG,SIPI,GARI,mNVDI,EPIChlb,NDII
98417_WSDA_SF_2017,apple,4,micro-sprinkler,2003/07/01,2017/07/11,wsda,,T17R25E25,Grant,Alfalfa Hay,4.35216770462,568.413410198,17612.5978268,Orchard,2017-07-11,2017,0.427817409019018,0.794948769675865,0.132105038888889,0.754783360347307,2.09331353223757,0.546580519621447,0.116399518944759,0.145814343521732,0.891847914904684,0.661317313980622,0.877802682284212,0.0224127685645864,0.522117440895836
98419_WSDA_SF_2017,"bean, dry",37,center pivot,2003/07/01,2017/07/12,wsda,,T16R27E15,Grant,"Corn, Field",36.550400558,1506.18791928,147914.22324,Vegetable,2017-07-12,2017,0.250359456904893,0.350633450856655,0.132259532335329,0.434538838640951,0.447127932386124,0.616196330217786,-0.0989227472687577,-0.13769139370876,0.590717695099483,0.208436330240899,0.501827010876617,0.0488976368250034,0.536452005440594
98420_WSDA_SF_2017,"corn, field",38,center pivot,2003/07/01,2017/05/20,wsda,,T14R24E35,Grant,Wheat,38.1904297826,1565.2056946,154551.18604,Cereal Grain,2017-05-20,2017,,,,,,,,,,,,,
98421_WSDA_SF_2017,"bean, dry",84,center pivot,2003/07/01,2017/07/11,wsda,,T17R26E31,Grant,"Bean, Dry",83.5777748205,2420.03928832,338227.254802,Vegetable,2017-07-11,2017,0.293365496723262,0.374090212280048,0.158921629866667,0.494862014779005,0.482988296429112,0.636737044204636,-0.148303819022134,-0.205206084837153,0.614955684606308,0.234925681900022,0.499061961967025,0.0590002099903654,0.468877069700097
98426_WSDA_SF_2017,apple,24,micro-sprinkler,2003/07/01,2017/07/11,wsda,,T17R26E24,Grant,Pear,23.5167508755,1273.44331774,95168.9143145,Orchard,2017-07-11,2017,0.556109481225652,0.829214607567144,0.17446964,0.759874765514757,2.34588924423423,0.577110952276237,0.19738797702125,0.277133133543727,0.868445392690232,0.709109711499936,0.941120291002754,0.0163800922525139,0.522670426494755
98427_WSDA_SF_2017,wheat,60,rill,2003/07/01,2017/05/14,wsda,,T20R23E27,Grant,"Bean, Green",59.6693844866,1997.82262795,241473.43183,Cereal Grain,2017-05-14,2017,0.366269375564686,0.652205007446666,0.129180127205882,0.660434698215572,1.22346401693138,0.568182528168683,-0.00755193570204951,-0.010992440708945,0.824724082216119,0.483125060594572,0.745229221607036,0.0354583912383301,0.52723009996528
98428_WSDA_SF_2017,apple,32,sprinkler,2003/07/01,2017/04/24,wsda,,T14R24E21,Grant,Unknown,32.1570211802,1437.71051544,130134.847688,Orchard,2017-04-24,2017,,,,,,,,,,,,,
98429_WSDA_SF_2017,cherry,25,micro-sprinkler,2003/07/01,2017/07/10,wsda,,T17R25E21,Grant,Alfalfa Hay,25.3925040408,1766.21742986,102759.818058,Orchard,2017-07-10,2017,0.472213504546018,0.819150097861473,0.143886562608696,0.770786549276699,2.39974948998769,0.551016900924702,0.158406708697495,0.209049959939252,0.883254948353713,0.700970846253011,0.911384813496343,0.019695259453734,0.505089654602464
98430_WSDA_SF_2017,"bean, dry",152,center pivot,2003/07/01,2017/10/18,wsda,,T20R25E21,Grant,"Corn, Field",152.420789556,3032.69041757,616825.051122,Vegetable,2017-10-18,2017,0.285338239145892,0.379373679134013,0.148878911577424,0.445889069147053,0.508018012826143,0.622186658442428,-0.0772896549580015,-0.109338368126285,0.596929544061645,0.239625658052336,0.542660468027717,0.0456862192759139,0.467165134887123
98432_WSDA_SF_2017,alfalfa hay,38,center pivot,2003/07/01,2017/05/03,wsda,,T21R26E31,Grant,Wheat,38.4843383286,1837.3898465,155740.591727,Hay/Silage,2017-05-03,2017,0.412137402834527,0.566440477769891,0.17781963559322,0.581935471237027,0.912056020589384,0.613522633262181,-0.0214030467841576,-0.029877472802846,0.729812238080431,0.41937170077564,0.725596453319958,0.0366877211564027,0.48120879381936
